,Tier,1,,Tier,2,,Tier,3,,Tier,4,,Tier,5,
Appliance,Watts,hours/day,Min. annual consumption (kWh),Watts,hours/day,Min. annual consumption (kWh),Watts,hours/day,Min. annual consumption (kWh),Watts,hours/day,Min. annual consumption (kWh),Watts,hours/day,Min. annual consumption (kWh)
Electricity,1,4,9,37,6,256,54,8,569,54,10,1274,54,18,1598
Mobile telephone,2,2,2,2,4,6,2,4,13,2,4,18,2,4,18
Radio,2,2,2,4,4,6,4,4,3,4,4,3,4,4,3
Television,0,0,0,20,2,29,40,2,73,40,2,128,40,2,183
Microwave,0,0,0,0,0,0,500,0.2,37,500,0.2,55,500,0.2,91
Washing machine,0,0,0,0,0,0,500,0.5,73,500,0.5,91,500,0.5,91
Refrigerator,0,0,0,0,0,0,0,0,0,300,3,807,300,3,1445
Air conditioner,0,0,0,0,0,0,0,0,0,0,0,0,1000,2,2920
