Regions census Zambia,Regions GADM
Copperbelt,Copperbelt
Muchinga,Muchinga
North western,North-Western
Western,Western
Luapula,Luapula
Northern,Northern
Central,Central
Southern,Southern
Eastern,Eastern
Lusaka,Lusaka
