# Downloaded from spglobal.com on 18/01/23,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
,,,,,,,,,,,Copper,Copper,Nickel,Nickel,Cobalt,Cobalt,Gold,Gold,Copper,Copper,Nickel,Nickel,Cobalt,Cobalt,Gold,Gold
Property Name,Property ID,Primary Commodity,Country / Region Name,Latitude (degrees),Longitude (degrees),Commodity 1,Commodity 2,Commodity 3,Ore Processed Mass (tonnes),"Ore Processed Mass
(tonnes)","Commodity Production - tonne
(tonnes)","Commodity Production - tonne
(tonnes)","Commodity Production - tonne
(tonnes)","Commodity Production - tonne
(tonnes)","Commodity Production - tonne
(tonnes)","Commodity Production - tonne
(tonnes)","Commodity Production - oz
(oz)","Commodity Production - oz
(oz)","MillHead Grade - percent
(%)","MillHead Grade - percent
(%)","MillHead Grade - percent
(%)","MillHead Grade - percent
(%)","MillHead Grade - percent
(%)","MillHead Grade - percent
(%)","MillHead Grade - g/tonne
(g/tonne)","MillHead Grade - g/tonne
(g/tonne)"
Luapula,53240,Copper,Zambia,-11.572990,29.283300,Copper,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Large Copper Tailings Resources,85185,Copper,Zambia,-14.463220,28.431270,Copper,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Konkola Deep,27740,Copper,Zambia,-12.379780,27.827590,Copper,Cobalt,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Konkola,29352,Copper,Zambia,-12.380060,27.827950,Copper,Cobalt,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kitwe Nkana Tailings Retreatment,76939,Copper,Zambia,-12.842220,28.170000,Copper,Cobalt,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kaxixi,88323,Copper,Zambia,-15.204230,28.654880,Copper,Gold,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kasempa,49812,Copper,Zambia,-13.342500,26.356667,Copper,Gold,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansanshi SX-EW,75983,Copper,Zambia,-12.098000,26.433000,Copper,,,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansanshi,26668,Copper,Zambia,-12.095390,26.429340,Copper,Gold,,"28,151,000","29,134,000","202,159","221,487",NA,NA,NA,NA,"128,199","128,409",NA,NA,NA,NA,NA,NA,NA,NA
Kabwe Tailings,36675,Lead,Zambia,-14.459730,28.433200,Lead,Zinc,Vanadium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
